Microbe,Metabolite,Weight,OR_Value
rplo 1 (Cyanobacteria),(3-methyladenine),1,0.0
rplo 1 (Cyanobacteria),(N6-acetyl-lysine),1,0.0
rplo 1 (Cyanobacteria),4-guanidinobutanoate,1,0.0
rplo 1 (Cyanobacteria),7-methyladenine,1,0.38684898339129714
rplo 1 (Cyanobacteria),adenine,1,0.0
rplo 1 (Cyanobacteria),adenosine,1,0.0
rplo 1 (Cyanobacteria),cytosine,1,0.0
rplo 1 (Cyanobacteria),guanine,1,0.0
rplo 1 (Cyanobacteria),hypoxanthine,1,0.0
rplo 1 (Cyanobacteria),N-acetyl-glutamate,1,0.0
rplo 1 (Cyanobacteria),N-acetylornithine,1,0.0
rplo 1 (Cyanobacteria),succinate,1,0.0
rplo 1 (Cyanobacteria),uracil,1,0.0
rplo 1 (Cyanobacteria),xanthine,1,0.08216853519240634
rplo 1 (Cyanobacteria),citrulline,1,0.0
rplo 1 (Cyanobacteria),glutamate,1,0.0
rplo 1 (Cyanobacteria),disaccharide (maltose),1,0.0827666664014526
rplo 1 (Cyanobacteria),glutamine,1,0.0
rplo 2 (Firmicutes),disaccharide (maltose),1,0.011211411817817768
rplo 2 (Firmicutes),glutamate,1,0.0
rplo 2 (Firmicutes),myristate,1,0.0
rplo 2 (Firmicutes),guanine,1,0.0
rplo 2 (Firmicutes),glutamine,1,0.0
rplo 2 (Firmicutes),cytosine,1,0.0
rplo 2 (Firmicutes),hypoxanthine,1,0.0
rplo 2 (Firmicutes),uracil,1,0.0
rplo 2 (Firmicutes),(N6-acetyl-lysine),1,0.0
rplo 2 (Firmicutes),myristate,1,0.0
rplo 2 (Firmicutes),glutamate,1,0.0
rplo 2 (Firmicutes),glutamine,1,0.0
rplo 60 (Firmicutes),disaccharide (maltose),1,0.0
rplo 60 (Firmicutes),adenine,1,0.0
rplo 60 (Firmicutes),citrulline,1,0.0
rplo 60 (Firmicutes),guanine,1,0.0
rplo 60 (Firmicutes),xanthine,1,0.0
rplo 60 (Firmicutes),uracil,1,0.0
rplo 60 (Firmicutes),hypoxanthine,1,0.0
rplo 60 (Firmicutes),(N6-acetyl-lysine),1,0.0
rplo 60 (Firmicutes),adenosine,1,0.0
rplo 60 (Firmicutes),proline,1,0.0
rplo 60 (Firmicutes),citrulline,1,0.0
rplo 7 (Actinobacteria),(N6-acetyl-lysine),1,0.0
rplo 7 (Actinobacteria),xanthine,1,0.0
rplo 7 (Actinobacteria),glutamate,1,0.0
rplo 7 (Actinobacteria),disaccharide (maltose),1,0.0
rplo 7 (Actinobacteria),hypoxanthine,1,0.0
rplo 7 (Actinobacteria),adenine,1,0.0
rplo 7 (Actinobacteria),guanine,1,0.0
