,"(2,3-dihydroxy-3-methylbutanoate)","(2,5-diaminohexanoate)",(3-hydroxypyridine),(3-methyladenine),(4-oxoproline),"(5,6-dihydrothymine)",(alanyl-leucine),(dehydroalanine),(glycero-3-phosphoethanolamine),(indoleacrylate),(leucyl-leucine),(lipoate),(N6-acetyl-lysine),(queuine),2-aminobutanoate,2-oxoglutarate,2'-deoxyguanosine,2'-deoxyuridine,"3',5'-cyclic-AMP",4-guanidinobutanoate,4-hydroxy-proline,7-methyladenine,adenine,adenosine,alanine,aminoadipic acid,arginine,asparagine,aspartate,betaine,biotin,carnitine,citrulline,creatinine,cytidine,cytosine,decanoate,disaccharide (maltose),ergothioneine,fumarate,glutamate,glutamine,guanine,guanosine,hypoxanthine,inosine,isoleucine,lactate,laurate,leucine,lysine,methionine,monosaccharide (glucose),myristate,N-acetyl-glutamate,N-acetylornithine,nicotinamide,nicotinate,oleate,palmitate,palmitoleate,pantothenate,phenylalanine,proline,pyridoxine,pyroglutamate,raffinose,salicylate,serine,stachyose,stearate,succinate,taurine,threonine,thymidine,thymine,tryptophan,tyrosine,uracil,urate,uridine,urocanate,valine,xanthine,xylitol
rplo 1 (Cyanobacteria),18.482727291727365,4.2036651675278026e-05,0.0004777358515148422,0.0,0.00017642977607833303,0.00013963578736878894,0.0,0.0005356736125222112,45.673079223759075,0.0,0.0,508.4137498484693,0.00016279686693806324,0.00027459975925903806,0.000242324832553388,0.00045138759979196857,0.00015574915611125573,61.27054388995122,0.000541488012944575,0.0004690010193619264,0.0,0.0005245458321702555,0.0,0.0004755682409570143,1.1648243820635717e-05,154.62424941823298,0.0001613299202770855,0.00013863070934736404,0.00047573349155000344,0.0001643232812969172,0.0005041838256272295,123.12597706918602,4.374156634974329e-05,0.0,0.0003479477713794691,0.0,0.0001609642287897634,206.57298572557914,44.89477543402574,0.0007731213317371512,51.95567817480977,0.00016372003226672806,0.0,0.0005471839748400478,0.000632071729252335,4.4215571666495326e-05,42.50417936226127,0.0004923636642798129,0.00016421344739521104,0.00019621645203930237,159.35538149624608,0.0,30.52401410789655,0.00017446531552086085,159.6525142197497,0.0003348960350088626,9.471829583004112e-05,1.6371438911121523e-06,1.8279237420189755e-06,9.503641511237803e-05,0.0,0.0005673902766715778,105.23959800523689,0.0,125.58265781877442,3.2136280115090125e-05,0.0,0.00011576605239254811,0.00010709330024057731,0.0,9.177858202726868e-05,0.000286930004949462,88.23146447300329,0.0,0.0,0.0006677180899286224,0.0,0.00042322089354244775,194.8814690730903,116.90675584780209,0.0007708379025395328,0.0008336354042163425,0.0,0.0005274024548972063,565.7709749194418
rplo 2 (Firmicutes),31.18509757593723,0.00017163769898176573,1.1967401143277821e-05,2.2737718159609793e-05,0.0,2.026411020942341e-05,0.0,0.00010629872405251135,2.5210128985790328e-20,7.945751506829464e-05,0.0,0.00037000092799052724,0.0,3.813963796137378e-05,2.387246746963759e-05,348.4213639228728,0.00015352240892299828,2.462538693667322e-05,0.00017786204043739306,0.00015793084197694915,0.0001438194864692636,5.708058079656504e-05,0.0,0.00012648206157852486,2.596209851451188e-05,24.383897118157584,0.0002640907596850101,0.0,8.146908013412365e-05,0.0,6.0349505816238335e-05,0.0,0.00010602809323529455,0.0,0.00019577428879524983,0.0,4.0407188083245126e-05,103.60727736549104,0.00027805909760143116,0.0002833036478470079,0.0,0.0,0.0,0.0001180183239993093,0.0001785699256708698,5.7548852897886084e-05,0.0,0.0,5.8450765225828786e-05,0.00013902307781268086,0.0,5.3459685909487544e-05,8.642568947496327e-05,6.641372749251582e-05,0.00028956994561451165,1.654631763204502e-05,8.34995442448471e-05,6.105430657588168e-05,2.983517015598812e-05,5.7171980796168096e-05,9.049378025353339e-05,0.0,0.00014646465612341259,0.0,3.663536608670453e-05,0.00019369947086143153,0.0002496331744052555,1.0780674090669699e-05,0.0,2.639989610254406e-05,3.7168407699070976e-05,0.00025141012852714653,0.0001195100991934246,2.586767406764422e-05,113.54021149688181,0.00024204807331768515,9.517880868799774e-05,52.20130530468686,0.00011766380202238851,2.5210128985790328e-20,0.00013225251841280942,0.000276533401595017,244.30720685382425,0.0001823738374018004,0.0001712628060443439
rplo 60 (Firmicutes),7.981096400265359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.128830320774499,0.0,0.4639077470158651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.089525866462557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 7 (Actinobacteria),4.486691294387703,0.0,0.0,0.0,0.0,0.0,1.5527130039689443,0.0,20.747092707031246,1.8006111649688066,0.0,38.16765649007112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.42702874836193,0.0,0.0,47.10068845794197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.000637044651498,0.0,0.0,0.0,0.0,0.0,0.002496620293558688,0.0,13.96642427664326,0.0,6.5749721765281235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45689212836423787,7.114430896072362e-05,0.0,0.0037319822292299185,0.0,0.0,0.0,0.0
rplo 10 (Firmicutes),14.016763812142079,0.0,0.0,0.0,0.0,4.680520913567871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004760778279984442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016866159379251802,0.0,0.00013792535282050583,0.0,0.0,0.0,0.0,0.0006556926068244429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034758224142578917,0.0,0.0,0.00043355248297663793,0.0,0.0,20.809270555901538,0.0,0.0,0.0,0.0,14.55923786630077,0.0002631564618091445,0.00014018209039821241
rplo 100 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.392959655994925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 101 (Proteobacteria),29.571675135089695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8270212772812213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0174914757461846,6.119153546798495,0.0,0.0,0.0,0.0,0.0,32.73849602893038,0.0,2.067773073184432,10.011336984739202,0.0,0.0,0.0,0.0,65.90683254093979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4483670389166554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 102 (Actinobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0574706147274135e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 103 (Actinobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 104 (Bacteroidetes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.405514455720363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
